1,AUTOSERVICIO,CAIRO,DIAGONAL 1 55,
2,SUPERMERCADO,B22,MZ B CASA 22,
3,SUPERMERCADO,EL PURANDE,,
4,SUPERMERCADO,EL MADRUGON,CALLE 7A#5 39,
5,AUTOSERVICIO,LA LOMITA,DIAGONAL 65C#O ESTE 33,
6,AUTOSERVICIO,MERKACENTRO,DIAGONAL 65 O 21,
7,SUPERMERCADO,DIVERFRUTOS,DIAGONAL 65C O6,
8,SUPERMERCADO,LA LOVANITA,MZ K CASA 7,
9,SUPERMERCADO,SUPERMERCADO,CALLE 68#6 76,
10,SUPERMERCADO,SARAI,CARRERA 14#1B 25 SUR,
11,SUPERMERCADO,SUPERMERCADO,DIAGONAL 63A#8 45,
12,SUPERMERCADO,JOSE LUIS,CARRERA 9#64B 04,
13,SUPERMERCADO,SEMIFRUTAS,CALLE 1#14 94,
14,GRANDES SUPERFICIES,MAKRO,CARRERA 1A ESTE#35 105,
15,CENCO SUD,JUMBO,AV UNIVERSITARIA CON 41,
16,SUPERMERCADO,CHISPAZO,CARRERA 6#64 195,
17,SUPERMERCADO,ALMACENES PARAISO S.A.,TRANSVERSAL OA ESTE#66A,
18,SUPERMERCADO,SANTA ROSITA,CALLE 17#10 78,
19,SUPERMERCADO,FRUTICARNES,CARRERA 11#2B 11,SURINAMA
20,SUPERMERCADO,SUPER,CARRERA 11A 25,SURINAMA
21,SUPERMERCADO,CHISPAZO HONGOS,CARRERA 11#5 37,LIBERTADOR
22,SUPERMERCADO,FRUTAS Y VERDURAS DEL CAMPO,CARRERA 11#6 42,LIBERTADOR
23,SUPERMERCADO,FAMI,CALLE 3#11 03,LIBERTADOR
24,SUPERMERCADO,SUPER,CALLE 63#8 46,ASIS
25,SUPERMERCADO,MYCKEY MOUSE,DIAGONAL 63#7 66,ASIS
26,SUPERMERCADO,ADES,CALLE 63#9 65,ASIS
27,SUPERMERCADO,FRUTAS Y VERDURAS SANTA BARBARA,CARRERA 11#12 44,EL BOSQUE
28,SUPERMERCADO,MERQUE FACIL,CARRERA 11#11 88,AQUIMIN
29,SUPERMERCADO,MERKEALCOSTO,CARRERA 10#17 73,CENTRO
30,SUPERMERCADO,CASETA,CARRERA 10#11 16,SAN LAUREANO
31,SUPERMERCADO,LA ESPERANZA,CARRERA 16#31 33,LA ESPERANZA
33,MINIMERCADO,MINI,TRANS 11#32-23,GAITAN
34,SUPERMERCADO,SUPER,CARRERA 13#33-10,GAITAN
35,SUPERMERCADO,FRUTICAMPO,CALLE 32#15-120,GAITAN
36,SUPERMERCADO,EL GAITAN,CALLE 31#14-33,GAITAN
37,AUTOSERVICIO,SAN LUIS,CARRERA 15#18-72,EL TOPO
38,SUPERMERCADO,MARKET ROYAL,DIAGONAL 38#12-132,LA MARIA
39,SUPERMERCADO,FRUVERS,CARRERA 12#36-63,LA MARIA
40,AUTOSERVICIO,TODOVIVERES,CALLE 17#14A-58,EL TOPO
41,SUPERMERCADO,EL BODEON DE LA ECONOMIA,CALLE 17#14-99,EL TOPO
42,SUPERMERCADO,SUPERMERCADO,CALLE 17#14-74,EL TOPO
43,SUPERMERCADO,FRUTIMAX,CARRERA 6#36-06,MESOPOTAMIA
44,SUPERMERCADO,MICROPLAZA,AV COLON#15-23,SANTA BARBARA
45,SUPERMERCADO,SURTIFRUVERS LA 28,CALLE 28#15-05,20 DE JULIO
46,SUPERMERCADO,TELUNGOS,CALLE 30A#14-19,GAITAN
47,AUTOSERVICIO,MERKAEXPRESS,CALLE 32#6-18,MESOPOTAMIA
48,AUTOSERVICIO,EL NOGAL,CARRERA 15#21-09,POPULAR
49,SUPERMERCADO,PLACITA CAMPESINA CENTRO,CARRERA 10#24-77,LAS NIEVES
50,SUPERMERCADO,LA TIENDA BUENA,CALLE 18#11-59,CENTRO
51,AUTOSERVICIO,SUPER,CARRERA 14#27-80,20 DE JULIO
52,SUPERMERCADO,LAS POTRANCAS ,CALLE 12#5-13,JORDAN
53,AUTOSERVICIO,TIENDA DE NACHO,TRANSV 5#8-47,JORDAN
54,SUPERMERCADO,SUPER,CARRERA 4#5-15,VILLA BACHUE
55,SUPERMERCADO,CHARO,CARRERA 6A#17-23,SAN IGNASIO
56,AUTOSERVICIO,SANTA LUCIA,CARRERA 15#24-39,SANTA LUCIA
57,SUPERMERCADO,SANTA BARBARA,CARRERA 11#10-94,SANTA BARBARA
58,SUPERMERCADO,CONSUELO,CARRERA 7#15-61,CONSUELO
59,SUPERMERCADO,FRUTAS Y VERDURAS,,
60,AUTOSERVICIO,COOSERVICIOS,CALLE 5#3-18,COOSERVICIOS
61,SUPERMERCADO,MERCAEXPRESS,CARRERA 16#36-02,CALLEJA
62,SUPERMERCADO,EL TOMATICO,CARRERA 16#31-69,LA ESPERANZA
63,SUPERMERCADO,CAMPOS PLAZA,CARRERA 19#28-93,ALTAMIRA
64,SUPERMERCADO,BELLO HORIZONTE,CARRERA 18#26-07,BELLO HORIZONTE
65,SUPERMERCADO,TIERRA PROMETIDA,CARRERA 18#31-07,BELLO HORIZONTE
66,AUTOSERVICIO,MERKATUYO,CARRERA 11#27-72,SANTA LUCIA
67,SUPERMERCADO,LA 26,CALLE 26#12-27,SANTA LUCIA
68,SUPERMERCADO,LA ESQUINA DE LUZ,CARREA 8#18-15,CONCEPCION
69,SUPERMERCADO,SUPERMERCADO,CALLE 19# 16-82,KENEDY
70,SUPERMERCADO,LA TORRE,CARRERA 3#6-89,SOL DE ORIENTE
71,SUPERMERCADO ,AUTOSERVICIO LOS MUELLES,TV 1E No 70-01 ,SUAMOX
72,SUPERMERCADO ,SIN NOMBRE,TV 1E No 69-67 ,SUAMOX
73,SUPERMERCADO ,LA FAVORITA,TV 0A No 70-12 ,SUAMOX
